count,HR,DY,pas_count,avg_trip_dist,avg_trip_time
29376,8,2013-02-28,1.6322167755991286,2.4201075708060986,783.7188180827886
26496,13,2013-02-19,1.6853109903381642,2.432868357487922,760.7380736714975
32000,21,2013-02-13,1.702125,2.915167500000001,667.74609375
23346,16,2013-02-17,1.788100745309689,2.736292298466554,714.0832262486078
23713,14,2013-02-18,1.7193100830767933,3.0365668620587862,677.422848226711
5200,1,2013-02-19,1.6701923076923078,3.7003807692307706,620.7536538461538
2440,3,2013-12-03,1.637704918032787,3.579180327868852,609.7717213114754
23856,12,2013-01-11,1.6345154258886654,2.4854422367538547,723.4007796780684
32780,23,2013-01-19,1.864765100671141,2.6899261744966467,722.4209884075656
12304,9,2013-01-13,1.6815669700910274,2.7757290312093645,512.7362646293889
27335,8,2013-05-14,1.6411926102066947,2.3759381745015618,840.2277300164624
3332,4,2013-05-15,1.7121848739495797,4.267298919567827,663.8928571428571
26645,9,2013-05-15,1.633402139238131,2.4240311503096272,853.9124038281103
18451,12,2013-05-26,1.8107961628096039,2.88329792423175,655.9716004552599
24341,10,2013-05-16,1.6498500472453885,2.5466583131342118,881.3394273037262
24251,13,2013-05-16,1.6801781369840418,2.8663160282050217,892.4492185889242
27536,1,2013-02-02,1.8135531667635096,2.928768884369551,658.4494479953515
27380,17,2013-02-02,1.7673849525200878,2.381388604821033,658.923046018992
24614,23,2013-02-03,1.7509953684894775,3.4471024620134854,662.4475501746973
34100,19,2013-02-06,1.6678005865102639,2.4202070381231677,685.1828152492668
22173,13,2013-02-04,1.6286474541108555,2.528649709105674,700.1762052947279
31379,21,2013-02-23,1.8165333503298384,2.494548264763056,656.3647662449409
36083,20,2013-02-21,1.6937061774242719,2.6827428428899993,667.3383587839148
25529,12,2013-02-22,1.6424066747620354,2.5092138352461912,741.3461945238748
18890,21,2013-02-03,1.733033350979354,3.1537596611964,580.7535733192166
25288,21,2013-02-04,1.6790968048086048,3.0253772540335317,621.9916165770326
10608,4,2013-02-23,1.777997737556561,3.6833229638009053,672.7054110105581
14859,9,2013-03-30,1.7126320748367994,2.6522800996029345,547.6781075442493
24100,14,2013-03-30,1.8056846473029045,2.655320746887968,710.7858091286307
6113,4,2013-03-29,1.717978079502699,4.332578112219857,670.2277114346475
9107,1,2013-03-21,1.6932030306357746,3.3850993741078304,631.6885911935874
23517,7,2013-12-05,1.5887230514096187,2.7973882723136496,758.529872007484
23528,10,2013-01-17,1.6264025841550493,2.4787678510710673,753.0215912954777
16937,9,2013-01-21,1.6272657495424219,2.6012251284170764,556.0693156993565
34095,19,2013-05-10,1.7257369115706116,2.4983314268954464,763.6632350784572
7637,2,2013-05-23,1.6789315176116275,3.4297289511588276,615.4775435380385
24445,19,2013-05-12,1.7853139701370424,2.9273581509511195,788.1271016567805
24366,11,2013-05-23,1.680743659197242,2.7148575884429142,941.1109332676681
25502,18,2013-05-23,1.7081405379970198,2.7184420829738833,1020.8329542780958
24371,14,2013-05-23,1.7078905256247179,2.881265848754671,1092.312543596898
4234,2,2013-05-06,1.7224846480869154,3.664678790741617,627.120217288616
24747,22,2013-05-06,1.7071564230007679,3.161328241807092,706.7305531983675
25023,13,2013-07-17,1.7023538344722855,2.5727990248971033,878.740518722775
31805,22,2013-07-18,1.7351674265052666,3.063726458104071,722.3423361106744
11253,4,2013-07-21,1.8256464942681951,3.722456233893181,658.5540744690305
8338,8,2013-07-21,1.6951307267929958,3.5091520748380947,579.5733988966178
12391,6,2013-07-19,1.5591961907836334,3.384038414978608,595.3578403680091
17409,16,2013-07-19,1.7242805445459246,2.865184674593608,946.9937388706991
5648,2,2013-07-17,1.6986543909348442,3.249050991501415,611.9583923512748
20917,7,2013-07-23,1.5937275899985657,2.74847062198212,661.5040875842616
25011,22,2013-07-22,1.7394746311622886,3.024234936627883,685.8650593738755
24054,14,2013-07-23,1.7187162218342065,2.731502037083229,866.4632077824893
3713,3,2013-07-24,1.634527336385672,3.5277538378669533,627.7077834635066
19485,21,2013-09-01,1.8308955606877084,3.0360697972799575,692.879753656659
17922,12,2013-09-01,1.8022542126994756,2.890542350184136,648.5246066287244
17435,2,2013-09-01,1.8185833094350445,3.239332950960693,661.3371379409234
5074,5,2013-08-24,1.7154119038234135,4.807321639731963,704.5120220733149
24501,9,2013-08-21,1.6321782784376149,870.3659320027758,789.8568629851843
21099,2,2013-08-25,1.818474809232665,47.562770273472765,9403.306696999858
21168,0,2013-08-23,1.7303476946334089,48.30865362811793,710.0189909297052
6516,3,2013-08-23,1.713474524248005,92.87521025168792,650.7150092081031
22514,14,2013-08-20,1.6980101270320689,6.084468774984446,833.6327618370791
26649,13,2013-05-04,1.774813313820406,2.6322691282974944,733.1747907989043
5183,5,2013-05-05,1.6743198919544666,4.421863785452436,697.1591742234227
14023,9,2013-05-05,1.7180346573486416,3.033765242815373,705.4603865078799
22260,16,2013-05-05,1.7689577717879605,3.290771338724155,749.9672955974843
27621,8,2013-05-01,1.6493971977842945,2.4383331523116465,826.1076354947322
24954,12,2013-05-10,1.6580107397611605,2.7189632924581235,935.9701049931874
22282,12,2013-10-22,1.6494928641953146,2.6113952966520038,863.6534422403734
28532,1,2013-03-02,1.8096873685686248,3.0099400672928733,662.9799523342213
9702,8,2013-03-03,1.6574933003504433,3.3630447330447293,545.18820861678
24123,19,2013-04-21,1.737097375948265,2.89421920988268,680.0855614973262
25659,18,2013-04-21,1.746131961494992,2.9889091546825624,762.870104057056
35359,22,2013-04-20,1.8372974348822082,2.616209168811334,713.034192143443
33227,20,2013-04-18,1.704818370602221,2.7965922292111864,698.4904445180125
32146,21,2013-04-19,1.7754619548310833,2.7964623903440597,679.3583649598706
24613,13,2013-04-28,1.7363994636980458,3.0791634502092364,750.0591963596473
22566,16,2013-04-20,1.801028095364708,2.7178986085261,719.7689887441284
32520,21,2013-04-20,1.824538745387454,2.5019584870848672,686.1515990159902
25131,14,2013-11-22,1.639170745294656,3.0574959213720154,951.6633639727826
5867,5,2013-11-17,1.7095619567070053,4.724682120334069,695.8242713482189
12830,6,2013-11-14,1.5437256430241622,3.1710607950116896,584.1777084957132
22943,15,2013-06-06,1.7223989887983262,3.0845225123131237,1103.8964825872815
27740,8,2013-06-07,1.6489906272530641,2.468272891131943,869.7258111031002
24633,7,2013-06-07,1.6036617545568952,2.7391872691105448,758.3500588641253
22507,15,2013-06-18,1.7404807393255433,2.7557697605189495,927.3788599102502
22948,10,2013-06-18,1.6595345999651385,2.583495729475334,854.3034687118703
29664,23,2013-06-07,1.8052184466019416,2.9827504719525355,716.0253505933117
32019,0,2013-06-09,1.851400730816078,2.9080168025235005,782.3528842249914
33573,18,2013-02-06,1.6692282488904775,2.338117832782292,743.2170494147083
25540,17,2013-02-11,1.6754502740798747,2.473308535630383,754.1462803445576
4452,5,2013-02-12,1.5476190476190477,4.446617250673853,625.7942497753819
15397,0,2013-02-13,1.709878547769046,3.247856725336098,664.9824641163863
11449,0,2013-04-16,1.6538562319853263,3.724677264389901,655.1759979037471
25413,14,2013-04-25,1.7054263565891472,2.9165734073112173,919.7365521583441
25057,0,2013-05-26,1.8444346889092869,2.9182970826515557,661.9416131220817
16337,0,2013-05-30,1.7098610516006612,3.365223725286169,658.3438207749281
24781,13,2013-05-30,1.6964206448488761,2.777775311730755,946.3861022557604
22562,17,2013-05-30,1.703528056023402,2.8095479124191147,991.5198563957096
22326,0,2013-05-31,1.7198333781241602,3.207048284511328,697.938636567231
9826,2,2013-05-31,1.7086301648687157,3.254580704254025,622.8497862812945
6462,3,2013-05-31,1.6807489941194678,3.4760151655834086,629.476013618075
24319,15,2013-05-07,1.7191085159751633,2.796138821497587,877.1993091821209
27789,12,2013-05-08,1.6869984526251394,2.2665659073734186,981.6780020871568
18901,16,2013-05-08,1.6908629173059626,2.972087191153908,927.8125496005503
22876,7,2013-05-10,1.5979629305822696,2.816915981815008,739.0926298303899
25584,18,2013-05-19,1.756996560350219,2.9884654471544763,830.1412992495309
29924,22,2013-05-21,1.7187875952412779,3.171760125651653,737.8847079267478
30024,22,2013-05-23,1.7416067146282974,3.15350686117772,728.9578337330136
13349,8,2013-05-18,1.6790770844257996,3.2560858491272757,642.7924189077834
23408,13,2013-10-03,1.6461466165413534,2.9150781784005533,902.9069976076555
22921,15,2013-10-27,1.7554644212730683,3.441807949042366,851.2377732210637
33792,21,2013-06-13,1.7355883049242424,2.8310339725378797,733.0280539772727
3953,4,2013-06-13,1.6311662028838856,4.507164179104481,686.0513534024791
11206,4,2013-06-16,1.7914510083883635,3.8463144743887185,685.9053185793325
22425,2,2013-06-16,1.811772575250836,3.21132173913043,676.998082497213
17583,3,2013-06-16,1.7978729454586817,3.449395438776095,679.5257350850253
19746,20,2013-06-16,1.7757520510483136,3.287819305175731,709.2681049326446
28691,19,2013-06-15,1.8318636506221464,2.5685688891987075,727.4710884946498
25286,10,2013-06-13,1.6477892905164913,2.3601463260302147,952.7348335047062
